ID,Authors,Title,Source title,DOI link,Year,Is the paper actually about ecological integrity?,Is integrity actually calculated?,Geography,Does metric include animals?,Does metric include animal communities?,Environment,Animal groups,Function Metric,Function notes,Notes,Who
105,Hansen A.J.; Mullan K.; Theobald D.M.; Robinson N.; East A.; Powell S.,Informing conservation decisions to target private lands of highest ecological value and risk of loss,Ecological Applications,http://doi.org/10.1002/eap.2612,2022,Yes,Yes,North America,Yes,Yes,terrestrial,multiple,no,,combined metric of habitat and species risk across a lot of tax,Ana
106,Harrison T.D.; Kelly F.L.,Development of an estuarine multi-metric fish index and its application to Irish transitional waters,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2013.06.018,2013,Yes,Yes,Europe,yes,Yes,marine,fish,yes,trophic groups,fish,Ana
109,Helson J.E.; Williams D.D.,Development of a macroinvertebrate multimetric index for the assessment of low-land streams in the neotropics,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2012.12.030,2013,Yes,Yes,Central America,Yes,Yes,aquatic,invertebrates,yes,"trophic groups,feeding behaviours",aquatic macroinvertebrates,Ana
112,Hua Y.; Cui B.; He W.; Cai Y.,Identifying potential restoration areas of freshwater wetlands in a river delta,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2016.07.036,2016,Maybe,Yes/maybe,Asia,Maybe,Yes,multiple,birds,no,,prioritization of restoration areas based on likelihood of restoration success - includes birds,Ana
114,Itsukushima R.,Study of aquatic ecological regions using fish fauna and geographic archipelago factors,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2018.08.057,2019,Yes,Yes,Asia,Yes,yes,aquatic,fish,no,,fish in Japan,Ana
119,Jiang M.; Chen H.; Chen Q.; Wu H.; Chen P.,Wetland ecosystem integrity and its variation in an estuary using the EBLE index,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2014.08.008,2015,Yes,Yes,Asia,Yes,Yes,marine,multiple,no,,"fish, phytoplankton, sessile marine/estuary organisms",Ana
120,Johnson S.L.; Ringler N.H.,"The response of fish and macroinvertebrate assemblages to multiple stressors: A comparative analysis of aquatic communities in a perturbed watershed (Onondaga Lake, NY)",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2014.02.006,2014,Yes,Yes,North America,Yes,Yes,aquatic,multiple,yes,"feeding guilds,trophic position","fish, macroinverts",Ana
121,Jung J.A.; Rogers H.N.; Grabas G.P.,Refinement of an index of ecological condition for marsh bird communities in lower Great Lakes coastal wetlands,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2020.106097,2020,Yes,Yes,North America,Yes,Yes,aquatic,birds,no,,birds in wetlands,Ana
128,Keddy P.A.; Drummond C.G.,"Ecological properties for the evaluation, management, and restoration of temperate deciduous forest ecosystems",Ecological Applications,http://doi.org/10.2307/2269480,1996,Yes,Yes,North America,Yes,Yes,terrestrial,multiple,no,,metric of forest health for eastern US,Ana
130,Kietzka G.J.; Pryke J.S.; Gaigher R.; Samways M.J.,Webs of well-designed conservation corridors maintain river ecosystem integrity and biodiversity in plantation mosaics,Biological Conservation,http://doi.org/10.1016/j.biocon.2021.108965,2021,Yes,Yes,Africa,Yes,Yes,terrestrial,invertebrates,yes,sensitivity,dragonflies in aquatic environments,Ana
